date,unlocks
2024-12-15,191
2024-12-16,130
2024-12-17,67
2024-12-18,64
2024-12-19,194
2024-12-20,44
2024-12-21,72
2024-12-22,161
2024-12-23,138
2024-12-24,81
2024-12-25,187
2024-12-26,109
2024-12-27,39
2024-12-28,42
2024-12-29,115
2024-12-30,189
